"id"	"name"
"1"	"Voyage completed as intended"
"2"	"Shipwrecked or destroyed, before slaves embarked"
"3"	"Shipwrecked or destroyed, after embarkation of slaves or during slaving"
"4"	"Shipwrecked or destroyed, after disembarkation"
"5"	"Shipwrecked or destroyed - unspecified"
"6"	"Captured by pirates or privateers - before slaves embarked"
"7"	"Captured by pirates or privateers - after embarkation of slaves"
"8"	"Captured by pirates or privateers - after disembarkation"
"9"	"Captured by pirates or privateers - unspecified"
"10"	"Captured by British - before slaves embarked"
"11"	"Captured by British - after embarkation of slaves"
"12"	"Captured by British - after disembarkation"
"13"	"Captured by British - unspecified"
"14"	"Captured by Spanish - before slaves embarked"
"15"	"Captured by Spanish - after embarkation of slaves"
"16"	"Captured by Spanish - after disembarkation"
"17"	"Captured by Spanish - unspecified"
"18"	"Captured by Dutch - before slaves embarked"
"19"	"Captured by Dutch - after embarkation of slaves"
"20"	"Captured by Dutch - after disembarkation"
"21"	"Captured by Dutch - unspecified"
"22"	"Captured by Portuguese - before slaves embarked"
"23"	"Captured by Portuguese - after embarkation of slaves"
"24"	"Captured by Portuguese - Americas after disembarkation"
"25"	"Captured by Portuguese - unspecified"
"26"	"Captured - unspecified"
"27"	"Condemned - before slaves embarked"
"28"	"Condemned - after embarkation of slaves"
"29"	"Condemned - Americas after disembarkation"
"30"	"Condemned - unspecified"
"31"	"Captured by the Barbary Powers before embarking slaves"
"39"	"Destroyed - unspecified"
"40"	"Sold"
"41"	"Left coast with trading cargo intact"
"42"	"Taken by Africans"
"43"	"Captured by Cie du Senegal"
"44"	"Abandoned and/or sold off Africa"
"45"	"Captured unspecified before slaves embarked"
"46"	"Captured unspecified after embarkation of slaves"
"47"	"Captured unspecified after slaves disembarked"
"48"	"Captured by pirates - slaves sold in Americas from another ship"
"49"	"Sold slaves in Americas - subsequent fate unknown"
"50"	"Captured by the French - before slaves embarked"
"51"	"Captured by the French - after embarkation of slaves"
"52"	"Captured by the French - after slaves disembarked"
"53"	"Captured by the French - unspecified"
"54"	"Condemned in the Americas by British after slaves disembarked"
"55"	"Pressed into government service"
"56"	"Captured by slaves: ship did not reach the Americas"
"57"	"Captured by crew: fate unknown"
"58"	"Condemned in the Americas by British before slaves disembarked"
"59"	"Bought at least one slave in Africa - subsequent fate unknown"
"66"	"Destroyed, lost or sold as result of slave rebellion"
"67"	"Taken, retaken and salvaged before reaching African trade site"
"68"	"Sold in the Americas after disembarking slaves"
"69"	"Cut off by Africans from shore, ship did not reach the Americas"
"70"	"Sold in the Americas - not known whether ship brought slaves"
"71"	"Captured before disembarking slaves; vessel recaptured or released subsequently"
"72"	"Driven off the African Coast with slaves on board"
"73"	"Captured by slaves, unknown outcome"
"74"	"Captured by crew, did not land slaves in the Americas"
"75"	"Lost before reaching Americas: slaves reached port in other ships"
"76"	"Some slaves removed by pirates/privateers"
"77"	"Arrived in Africa, subsequent fate unknown"
"78"	"Captured and recaptured after disembarking slaves"
"79"	"Crew mutiny; slaves landed in the Americas"
"80"	"Cut off by Africans from shore. Recaptured and landed slaves in Americas"
"81"	"Captured by slaves, recaptured and landed slaves in the Americas"
