"image_id"	"file_name"	"title"	"description"	"width"	"height"	"mime_type"	"creator"	"language"	"size"	"source"	"comments"	"other_references"	"emory"	"emory_location"	"authorization_status"	"image_status"	"ready_to_go"	"order_num"	"category"	"date"	"external_id"
"711854"	"D535BCD9BFD805CB1F8A829B58EC5ECA.JPG"	"H.M.S. ""Rifleman"" Chasing the 
Slaver ""Esmeralda"""	"The image represents the H.M.S. ""Rifleman"" (right) pursuing the 
slaver ""Esmeralda"" (left). An account in The Illustrated London News, the source of this 
image, describes the attempt of the British ""Rifleman"" to intercept the ""Esmeralda"" off 
the Brazilian coast. The slaver, however, escaped and landed slaves on the coast of Rio de 
Janeiro. The image is reproduced courtesy of the Manuscript, Archives and Rare Book 
Library, Emory University."	"1200"	"486"	"image/pjpeg"	"The Illustrated London News"	"en"	"331553"	"The Illustrated London News (Dec. 14, 1850), vol. 17, p. 468"	"\N"	"1) 
VFHW, The Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image 
reference iln468.2) The Transatlantic Slave Trade Database, voyage id# 4629."	"t"	"AP4 
.I45 V.17 1850"	"4"	"4"	"t"	"15"	"1"	"1850"	"\N"
"711868"	"E30402970C22EDB6C431C05B7022AF1A.JPG"	"Schematic Plans for the 
""Wanderer"""	"The ""Wanderer"" was the last vessel to disembark slaves in the United States, 
in 1858. She was built to be a racing yacht, but was converted into a slave vessel in an 
attempt to re-open the slave trade at the eve of the American Civil War."	"1000"	"378"	"image/pjpeg"	"\N"	"  "	"268280"	"Smithsonian Institution, NMAH/Transportation"	"\N"	"1) 
The Trans-Atlantic Slave Trade Database, voyage id #4293, 4965 and 4974.
2) Erik Calonious, The Wanderer: the last American slave ship and teh conspiracy that set its 
sails (New York, 2006)."	"f"	"\N"	"0"	"1"	"f"	"2"	"1"	"1856"	"\N"
"711852"	"A093AF26645C48DB118A218992354AD2.JPG"	"H.M.S. ""Pluto"" Capturing the 
Slaver ""Orion"""	"The image describes the H.M.S. ""Pluto"" capturing the slaver ""Orion"" on 
November 30th, 1859. The Illustrated London News, the source of this image, identifies the 
slaver only as a ""large barque"" sailing off the African coast, but the sources in the 
database recovered the name of the slave vessel and its route. The slaver departed from 
New York, loaded slaves at Cabinda and intended to deliver them to Cuba. However, the 
British naval force intercepted the ""Orion"", loaded with a large cargo of slaves, and 
conducted her to St. Helena. The image is reproduced courtesy of the Manuscript, Archives 
and Rare Book Library, Emory University."	"1200"	"780"	"image/pjpeg"	"The Illustrated 
London News"	"en"	"603439"	"The Illustrated London News (Apr. 28, 1860), vol. 36, p. 409 
(bottom)."	"\N"	"1) VFHW, The Atlantic Slave Trade and Slave Life in the Americas: a 
Visual Record, image reference iln409.2) The Transatlantic Slave Trade Database, voyage 
id# 4807."	"t"	"AP4 .I45 V.36 1860"	"4"	"4"	"t"	"13"	"1"	"1860"	"\N"
"711861"	"C903E339D2001401ACA3BE9D92816CB0.JPG"	"Section of Canoe for Transporting 
Slaves, Sierra Leone, 1840’s"	"In West Africa, canoes were the main vehicles for 
transporting slaves from the coast to the transatlantic vessel. According to The 
Illustrated London News, during the 1840’s, in Sierra Leone, such canoes could carry 200 
slaves in their bottom. The dimensions of these canoes were ""about 40 feet long, 12 broad, 
and seven or eight feet deep"". The image is reproduced courtesy of the Manuscript, 
Archives and Rare Book Library, Emory University."	"876"	"282"	"image/pjpeg"	"The 
Illustrated London News"	"en"	"176833"	"The Illustrated London News (Apr. 14, 1849), vol. 
14, p. 237"	"\N"	"1) VFHW, The Atlantic Slave Trade and Slave Life in the Americas: a 
Visual Record, image reference E022"	"t"	"AP4 .I45 V.14 1849"	"4"	"4"	"t"	"22"	"1"	"1849"	"\N"
"711851"	"3A7AFC0AAEAA1E5DE53837027FAC1AAA.JPG"	"Section of the Slaver ""Abbot 
Devereux"""	"The slaver ""Abbot Devereux"" was captured off the coast of Whydah by H.M. 
Gun-boat ""Teaser"". An eyewitness provided an account of the capture dated August 6th, 
1857, to The Illustrated London News, the source of this image. The slaver had a full 
cargo of slaves destined to Cuba, but instead it was conducted to Sierra Leone by the 
British naval force. The image is reproduced courtesy of the Manuscript, Archives and Rare 
Book Library, Emory University."	"1200"	"338"	"image/pjpeg"	"The Illustrated London News"	"en"	"198744"	"The Illustrated London News (Sep. 19, 1857), vol. 31, p. 284"	"\N"	"1) 
VFHW, The Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image 
reference iln284a.2) The Transatlantic Slave Trade Database, voyage id# 4247."	"t"	"AP4 .I45 V.31 1857"	"4"	"4"	"t"	"12"	"1"	"1857"	"\N"
"711853"	"E5CBA0D5E5FFD4B94F4815E41F3F9A4B.JPG"	"H.M.S. ""Rattler"" Capturing the 
Slaver ""Andorinha"""	"The image describes the H.M.S. ""Rattler"" (left) capturing the slaver 
""Andorinha"" (right). The Illustrated London News, the source of this image, reported that 
the vessel was in charge of a Brazilian commander and that she was often employed in the 
slave trade from the Bight of Benin. The slaver was captured off Lagos, at present-day 
Nigeria, in August, 1849. The image is reproduced courtesy of the Manuscript, Archives and 
Rare Book Library, Emory University."	"1200"	"821"	"image/pjpeg"	"The Illustrated London 
News"	"en"	"661061"	"The Illustrated London News (Dec. 29, 1849), vol. 15, p. 440"	"\N"	"1) VFHW, The Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image 
reference iln440.2) The Transatlantic Slave Trade Database, voyage id# 3829."	"t"	"AP4 
.I45 V.15 1849"	"4"	"4"	"t"	"14"	"1"	"1849"	"\N"
"711844"	"B0FA5B6286C65C1B6D105928CB7D0939.JPG"	"U.S. Naval Brig ""Perry"" 
Approaching Slaver ""Martha"", June 6th"	"U.S. Naval Brig ""Perry"" (left) approaching 
American slave vessel ""Martha"" (right). Slave vessel ""Martha"" was captured as a prize 
off-shore Ambriz, at the West-Central African coast, on June 6, 1850. The vessel was fully 
equiped for the slave trade, but no slaves were found on board.The image is reproduced 
courtesy of the Robert W. Woodruff Library, Emory University."	"1000"	"605"	"image/pjpeg"	"Sarony & Co. N.Y."	"en"	"469754"	"Andrew H. Foote, Africa and the American Flag (New 
York, 1854), p. 286"	"\N"	"1) VFHW, The Atlantic Slave Trade and Slave Life in the 
Americas: a Visual Record, image reference 286.2) The Transatlentic Slave Trade Database, 
voyage id# 4768"	"t"	"DT471 .F66"	"4"	"4"	"t"	"5"	"1"	"1850"	"\N"
"1789011"	"E7B505DA153D7C9724EE14BDC3A5AE9A.JPG"	"Plan of the Slaver ""Vigilante"""	"The Brig “Vigilante” was a French slaver captured in the River Bonny, at the Bight of 
Biafra, on April 15th, 1822. She departed from Nantes, in France, and carried 345 slaves 
from the coast of Africa, but she was intercepted by anti-slave trade cruisers before 
sailing to the Americas and taken to Freetown, Sierra Leone. The English had no rights to 
detain vessels under the French flag, and the cruiser had approached the “Vigilante” only 
in order to verify its papers. The French captain, fearing detention, opened fire killing 
several of the cruiser’s crew. It was only then that the “Vigilante” was taken captive and 
escorted to first Sierra Leone where the slaves were disembarked, and then to Plymouth, 
England, where the English captain hoped to lay murder charges. Abolitionists drew the 
vessel while it was in Plymouth. In the event, the vessel and crew were released without 
charges. The image is of a plan of the “Vigilante”, showing the slave decks and the 
instruments used to chain the slaves. This plan was published as a fold out in a pamphlet 
printed first in London and then Paris and other places in 1823. The image is reproduced 
courtesy of the John Carter Brown Library at Brown University."	"620"	"768"	"image/jpeg"	"\N"	"fr"	"143269"	"Affaire de la Vigilante, batiment négrier de Nantes (Paris, 1823), 
following p. 8"	"\N"	"\N"	"f"	"\N"	"6"	"4"	"t"	"0"	"1"	"1822"	"\N"
"1368897"	"9A85EA2A613326367995F2D20141B768.PNG"	"Slide 8"	"\N"	"625"	"500"	"image/png"	"\N"	"  "	"24743"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"8"	"99"	"8"	"\N"
"1368892"	"340B88827FBE97319FCD67E1C20D1D55.PNG"	"Slide 3"	"\N"	"624"	"500"	"image/png"	"\N"	"  "	"74641"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"3"	"99"	"3"	"\N"
"711850"	"C8ECDDD1C2E871D92E2B7B44258254CE.JPG"	"H.M. Gun-boat ""Teaser"" Capturing 
the Slaver ""Abbot Devereux"""	"The image represents the H.M. Gun-boat ""Teaser"" (on left) 
approaching the slaver ""Abbot Devereux"" (on right). The slaver was captured off the coast 
of Whydah. An eyewitness provided an account of the capture dated August 6th, 1857, to The 
Illustrated London News, the source of this image. The slaver had a full cargo of slaves 
destined for Cuba, but instead it was conducted to Sierra Leone by the British naval 
force. The image is reproduced courtesy of the Manuscript, Archives and Rare Book Library, 
Emory University."	"1280"	"851"	"image/pjpeg"	"The Illustrated London News"	"en"	"678040"	"The Illustrated London News (Sep. 19, 1857), vol. 31, p. 284"	"\N"	"1) VFHW, The Atlantic 
Slave Trade and Slave Life in the Americas: a Visual Record, image reference iln284a.
2) The Transatlantic Slave Trade Database, voyage id# 4247."	"t"	"AP4 .I45 V.31 1857"	"4"	"4"	"t"	"11"	"1"	"1857"	"\N"
"711855"	"EAD87C94000A1C0FB577F59899AC36C0.JPG"	"Slaver ""Zeldina"" at Port Royal"	"The image shows the slaver ""Zeldina"" anchored at Port Royal in 1857. It is a reproduction 
of one of the images sent with a letter from Kingston, Jamaica, dated May 11th, 1857, to 
The Illustrated London News, the source of this image. The newspaper published the letter 
and the pictures provided by the letter. The schooner ""Zeldina"" embarked slaves at 
Cabinda, but she was blown off her way to Cuba and captured by the British naval force in 
April, 1857. The image is reproduced courtesy of the Manuscript, Archives and Rare Book 
Library, Emory University."	"700"	"842"	"image/pjpeg"	"The Illustrated London News"	"en"	"286536"	"The Illustrated London News (Jun. 20, 1857), vol. 30, p. 595"	"\N"	"1) VFHW, The 
Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image reference 
iln595a.2) The Transatlantic Slave Trade Database, voyage id# 4229."	"t"	"AP4 .I45 
V.30 1857"	"4"	"4"	"t"	"16"	"1"	"1857"	"\N"
