"image_id"	"voyageid"
"711844"	"4768"
"711854"	"4629"
"711870"	"4974"
"711868"	"4974"
"711859"	"4229"
"711852"	"4907"
"711858"	"4229"
"711857"	"4229"
"711856"	"4229"
"711853"	"3829"
"711851"	"4247"
"711850"	"4247"
"711855"	"4229"
"711844"	"666"
"711870"	"666"
"1368918"	"111"
"1368870"	"989898"
"1718557"	"2316"
"1718558"	"2315"
"1718559"	"2728"
"1718560"	"2314"
"1718561"	"2320"
"1718562"	"2322"
"1718563"	"2323"
"1718564"	"2912"
"1718565"	"2325"
"1718566"	"2324"
"1718567"	"2915"
"1718568"	"2898"
"1718569"	"2920"
"1718570"	"2332"
"1718571"	"2330"
"1718572"	"2918"
"1718573"	"2351"
"1718574"	"2758"
"1718575"	"2931"
"1718576"	"2944"
"1718577"	"2945"
"1718578"	"2946"
"1718579"	"2947"
"1718580"	"2948"
"1718581"	"2333"
"1718582"	"2952"
"1718583"	"2953"
"1718584"	"2345"
"1718585"	"2346"
"1718586"	"2347"
"1718587"	"2367"
"1718588"	"2954"
"1718589"	"34423"
"1718590"	"2368"
"1718591"	"2955"
"1718592"	"2957"
"1718593"	"2840"
"1718594"	"2965"
"1718595"	"2380"
"1718596"	"2977"
"1718597"	"2980"
"1718598"	"2981"
"1718599"	"2382"
"1718600"	"2841"
"1718601"	"2969"
"1718602"	"2384"
"1718603"	"2383"
"1718604"	"2385"
"1718605"	"2968"
"1718606"	"2970"
"1788574"	"2983"
"1788575"	"2991"
"1788576"	"2387"
"1788577"	"2397"
"1788579"	"3012"
"1788580"	"2998"
"1788581"	"2999"
"1788582"	"2856"
"1788583"	"3006"
"1788584"	"3007"
"1788585"	"3008"
"1788586"	"2391"
"1788587"	"2390"
"1788588"	"3011"
"1788589"	"3009"
"1788590"	"2997"
"1788591"	"2395"
"1788592"	"3014"
"1788593"	"3021"
"1788594"	"2855"
"1788595"	"2405"
"1788596"	"2435"
"1788597"	"2441"
"1788598"	"2439"
"1788599"	"2444"
"1788600"	"2464"
"1788601"	"2465"
"1788602"	"2466"
"1788603"	"2471"
"1788604"	"2480"
"1788605"	"3048"
"1788606"	"2486"
"1788607"	"2488"
"1788608"	"2487"
"1788609"	"2490"
"1788610"	"2489"
"1788611"	"3067"
"1788612"	"2500"
"1788613"	"2529"
"1788614"	"3070"
"1788615"	"2560"
"1788616"	"2580"
"1788617"	"3074"
"1788618"	"2586"
"1788619"	"2587"
"1788620"	"2572"
"1788621"	"2635"
"1788622"	"2603"
"1788623"	"3091"
"1788624"	"2681"
"1788625"	"2691"
"1788626"	"2930"
"1788627"	"3130"
"1788628"	"3465"
"1788629"	"3855"
"1788630"	"3878"
"1788631"	"3888"
"1788632"	"3889"
"1788633"	"3884"
"1788634"	"3892"
"1788645"	"4974"
"1788655"	"2358"
"1788656"	"2366"
"1788657"	"2374"
"1788658"	"558"
"1788659"	"557"
"1788660"	"561"
"1788661"	"668"
"1788662"	"756"
"1788663"	"770"
"1788664"	"777"
"1788665"	"941"
"1788666"	"960"
"1788667"	"963"
"1788668"	"1245"
"1788669"	"1249"
"1788670"	"1250"
"1788671"	"1266"
"1788672"	"1295"
"1788673"	"1298"
"1788674"	"1307"
"1788675"	"1338"
"1788676"	"1355"
"1788677"	"1361"
"1788678"	"1367"
"1788679"	"1372"
"1788680"	"1403"
"1788681"	"1446"
"1788682"	"1462"
"1788683"	"1479"
"1788684"	"1469"
"1788685"	"1856"
"1788686"	"1860"
"1788687"	"2078"
"1788696"	"3071"
"1788698"	"2553"
"1788699"	"2554"
"1368898"	"41890"
"1788700"	"2443"
"1788701"	"2438"
"1788702"	"2440"
"1788703"	"2474"
"1788704"	"2477"
"1788705"	"2479"
"1788706"	"2481"
"1788707"	"2482"
"1788708"	"2491"
"1788709"	"2525"
"1788710"	"2531"
"1788711"	"2584"
"1788712"	"3073"
"1788713"	"2558"
"1788714"	"2601"
"1788715"	"2650"
"1788716"	"2625"
"1788717"	"2637"
"1788718"	"2653"
"1788719"	"1368"
"1788720"	"1383"
"1788721"	"1396"
"1788722"	"1631"
"1788723"	"2071"
"1788743"	"4362"
"1788744"	"4362"
"1788745"	"4362"
"1788746"	"4362"
"1368899"	"75094"
