"iid"	"type"	"id"	"name"
"6"	"0"	"\N"	"<i>Rijksarchief Gent</i> (Ghent, Belgium)"
"75"	"0"	"\N"	"<i>Archivo General de Simancas</i> (Simancas, Spain)"
"126"	"1"	"ASR"	"<i>Anti-Slavery Reporter</i>"
"221"	"4"	"BarciaDataset"	"Barcia, Manuel (University of Leeds), Dataset of slave vessels arriving in Cuba, 1790-1810"
"222"	"4"	"BDB"	"Binder, Franz, Dataset of 17th century Dutch slave trading voyages, currently deposited at the Wilberforce Institute for the Study of Slavery and Emancipation (Hull)"
"223"	"4"	"Binder"	"Binder, Franz, Archival and library notes on the 17th century slave trade, currently deposited at the Amsterdam City Archives"
"224"	"4"	"Binder:ARA,Aanwinsten"	"Binder, Franz, Archival and library notes on the 17th century slave trade, currently deposited at the Amsterdam City Archives: notes from the Nationaal Archief (The Hague), Aanwinsten"
"225"	"4"	"Binder:ARA,NBKG"	"Binder, Franz, Archival and library notes on the 17th century slave trade, currently deposited at the Amsterdam City Archives: notes from the Nationaal Archief (The Hague), Nederlandse Bezittingen ter Kuste van Guiné"
"226"	"2"	"Adams"	"Adams, John, <i>Sketches Taken During Ten Voyages to Africa, Between the Years 1786 and 1800</i> (London, 1822)."
"227"	"2"	"AfricanInstit, Fifth"	"African Institution, <i>Fifth Report of the Directors of the African Institution </i>(London, 1811)."
"228"	"2"	"AfricanInstit, Sixth"	"African Institution, <i>Sixth Report of the Directors of the African Institution</i> (London, 1812)."
"229"	"2"	"AfricanInstit, Seventh"	"African Institution, <i>Seventh Report of the Directors of the African Institution</i> (London, 1813)."
"230"	"2"	"AfricanInstit, Eighth"	"African Institution, <i> Eighth Report of the Directors of the African Institution</i> (London, 1814)."
"231"	"2"	"AfricanInstit, Ninth"	"African Institution, <i> Ninth Report of the Directors of the African Institution</i> (London, 1815)."
"232"	"2"	"AfricanInstit, Tenth"	"African Institution, <i>Tenth Report of the Directors of the African Institution</i> (London, 1816)."
"233"	"2"	"AfricanInstit, Twelfth"	"African Institution, <i>Twelfth Report of the Directors of the African Institution </i>(London, 1818)."
"234"	"2"	"AfricanInstit, Thirteenth"	"African Institution, <i>Thirteenth Report of the Directors of the African Institution</i> (London, 1820)."
"235"	"2"	"AfricanInstit, Fourteenth"	"African Institution, <i>Fourteenth Report of the Directors of the African Institution</i> (London, 1821)."
"236"	"2"	"AfricanInstit, Fifteenth"	"African Institution, <i>Fifteenth Report of the Directors of the African Institution</i> (London, 1822)."
"237"	"2"	"AfricanInstit, Eighteenth"	"African Institution, <i>Eighteenth Report of the Directors of the African Institution</i> (London, 1825).&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; "
"238"	"2"	"AfricanInstit, Nineteenth"	"African Institution, <i>Nineteenth Report of the Directors of the African Institution</i> (London, 1826).&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; "
"239"	"2"	"AfricanInstit, Abstract"	"African Institution, <i>Foreign Slave Trade. Abstract of the information laid on the table of the House of Commons</i> (London, 1821)."
"240"	"2"	"Akinjogbin"	"Akinjogbin, I.A., &#8220;Archibald Dalzel: Slave Trader and Historian of Dahomey,&#8221; <i>Journal of African History</i>, 7 (1966): 67-78."
"241"	"2"	"Alford"	"Alford, Terry, <i>Prince Among Slaves</i> (New York, 1977)."
"242"	"2"	"ABAPP"	"<i>Annaes da Biblioteca e Arquivo Publico do Par&aacute;</i>, vol. 2 (1903), vol. 8 (1913)."
"243"	"2"	"AR"	"<i>Annual Register</i>, 1762, 1792."
"244"	"2"	"PWV"	"Anon, <i>Pertinent en Waarachtig Verhaal van alle de Handelingen en Directie van Pedro van Belle ontrent Den Slavenhandel</i> (Rotterdam, 1689)."
"245"	"2"	"Anon,Journal"	"Anon, <i>Journal d&#8217;un voyage sur les costes d&#8217;Afrique et aux Indes d&#8217;Espagne; avec une description particuliere de la riviere de la Plata, de Buenosayres, &amp; autres Lieux; commenc&eacute; en 1702 &amp; fini en 1706</i> (Amsterdam, 1730).&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; "
"246"	"2"	"GentMag"	"Anon, <i>Gentleman&#8217;s Magazine</i>."
"247"	"2"	"RL"	"Anon, <i>Report of the Lords Committee of Council appointed for the Consideration of all Matters Relating to Trade and Foreign Plantations</i> (London, 1789). [Also in Parliamentary Papers, 1789 (646), XXVI.]&nbsp;&nbsp;&nbsp; "
"248"	"2"	"GentMag,1906"	"Anon, &#8220;The Adventures of Mongovo, George,&#8221; <i>Gentleman&#8217;s Magazine,</i> 300 (1906)."
"249"	"2"	"Appleby,1993"	"Appleby, John C., &#8220;A Guinea Venture c. 1657: A note on the Early English Slave Trade,&#8221; <i>Mariner&#8217;s Mirror</i>, 79 (1993): 84-7."
"250"	"2"	"Appleby,1995"	"Appleby, John C., &#8220;A Business of Much Difficulty&#8217;: A London Slaving Venture, 1651-54,&#8221; <i>Mariner&#8217;s Mirror</i>, 83 (1995): 3-14.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; "
"251"	"2"	"Armstrong"	"Armstrong, James C., &#8220;Madagascar and the Slave Trade in the Seventeenth Century,&#8221; <i>Omaly Sy Anio</i>, 17-20 (1983-84): 211-232.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; "
"252"	"2"	"AA"	"<i>Arquivos de Angola</i>, 27 vols. (Luanda, 1936-70)."
"253"	"2"	"Arthy"	"Arthy, Elliot, <i>Introductory Obsevations in Favor of the African Slave Trade</i> (Liverpool, 1804)."
"254"	"2"	"Grace"	"Ashton, T. S., (ed.), <i>Letters of a West African Trader, Edward Grace, 1767-70</i> (London, 1950)."
"255"	"2"	"Astley"	"Astley, T. (ed.), <i>A New General Collection of Voyages and Travels: Consisting of the Most Esteemed Relations Which have been hitherto Published in Any Language</i>, 4 vols. (London, 1745-47 [1743-47])."
"256"	"2"	"Atkins"	"Atkins, John, <i>A Voyage to Guinea, Brazil and the West Indies in His Majesty&#8217;s ships Swallow and Weymouth</i> (London, 1970)."
"257"	"2"	"DDT"	"Barbot, Jean, &#8220;Journal d&#8217;un voyage de traite en Guine&eacute;, B Cayenne et aux Antilles fait par Jean Barbot, 1678-79,&#8221; edited by G. Debien, M. Delafosse et G, Thilmans, <i>Bulletin de l&#8217;Institut Fondamental d&#8217;Afrique Noir</i>, S&eacute;rie B, 40 (1978): 235-395."
"296"	"2"	"PAST"	"Coughtry, Jay (ed.), <i>Papers of the American Slave Trade (microform)</i> (Bethesda, MD, 1996)."
"297"	"2"	"Cox"	"Cox, Gregory Stevens, <i>St Peter Port, 1680-1830: The History of an International Entrep&ocirc;t</i> (Woodbridge, 1999)."
"180"	"1"	"NYG"	"<i>New York Gazette</i>"
"258"	"2"	"Barker"	"Barker, Robert, <i>The Unfortunate Shipwright or, Cruel Captain. Being a narrative of the parallel&#8217;d sufferings of Robert Barker, late carpenter on board the Thetis, Snow of Bristol, in a voyage to the coast of Guinea and Antigua</i> (London, 1760).&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; "
"259"	"2"	"Barlow"	"Barlow, Edward, <i>Barlow&#8217;s Journal</i> (London, 1934), vol. 1. "
"260"	"2"	"Barreda"	"Barreda, Fernando, &#8220;La Trata Negrera desde el Puerto de Santander,&#8221; <i>Boletin de la Biblioteca de Menendez Pelayo</i>, 29 (1953) 1-2: 5-22."
