voyageid,adpsale1,adpsale2,adult1,adult2,adult3,adult4,adult5,adult6,arrport,arrport2,boy1,boy2,boy3,boy4,boy5,boy6,captaina,captainb,captainc,child1,child2,child3,child4,child5,child6,constreg,crew,crew1,crew2,crew3,crew4,crew5,crewdied,datedepa,datedepb,datedepc,d1slatra,d1slatrb,d1slatrc,dlslatra,dlslatrb,dlslatrc,ddepam,ddepamb,ddepamc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,datarr43,datarr44,datarr45,embport,embport2,embreg,embreg2,fate,female1,female2,female3,female4,female5,female6,girl1,girl2,girl3,girl4,girl5,girl6,guns,infant1,infant3,infant4,jamcaspr,majbuypt,majselpt,male1,male2,male3,male4,male5,male6,men1,men2,men3,men4,men5,men6,national,ncar13,ncar15,ncar17,ndesert,npafttra,nppretra,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,owneri,ownerj,ownerk,ownerl,ownerm,ownern,ownero,ownerp,plac1tra,plac2tra,plac3tra,placcons,placreg,portdep,portret,regarr,regarr2,regdis1,regdis2,regdis3,regem1,regem2,regem3,regisreg,resistance,retrnreg,retrnreg1,rig,saild1,saild2,saild3,saild4,saild5,shipname,sla1port,slaarriv,sladafri,sladamer,sladvoy,slas32,slas36,slas39,slavema1,slavema3,slavemx1,slavemx3,slavmax1,slavmax3,slavmax7,slinten2,slintend,sourcea,sourceb,sourcec,sourced,sourcee,sourcef,sourceg,sourceh,sourcei,sourcej,sourcek,sourcel,sourcem,sourcen,sourceo,sourcep,sourceq,sourcer,tonnage,tontype,tslavesd,tslavesp,voyage,women1,women2,women3,women4,women5,women6,xmimpflag,yearaf,yearam,yeardep,yrcons,yrreg
117, , , , , , , , , , , , , , , , ,Boucher, , , , , , , , , , ,22, , , , , ,24,1,1819,14,3,1819, , , , , , , ,10,1819, , , , , , , ,10,1819, , , , ,172, , , , , , , , , , , , , , , , , ,60605,36299, , , , , , , , , , , , ,10, , , , , , , ,Chédel, , , , , , , , , , , , , , , ,60605, , , , ,10713,10713, , ,36200, , ,60600, , , , ,10700,10000, , , , , , ,Rôdeur,36299,160, , ,40, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","AfricanInstit, Fifteenth, 5",Daget, , , , , , , , , , , , , , , ,200,4,200, , , , , , , , ,115,1819,1819,1819, , 
146, , , , , , , , ,50422, , , , , , , ,"Silva, José Pinto Ribeiro da","Trindade, Francisco Dias", , , , , , , , , , , , , , , , , , , , ,1821, ,1,1822, , , ,19,2,1822, , , , , , , , , ,60734, ,60700, ,1, , , , , , , , , , , , , , , , , ,60799,50422, , , , , , , , , , , , , , , , , , , , ,"Silva, Amaro Velho da", , , , , , , , , , , , , , , ,60734, , , , ,50422, ,50400, ,50400, , ,60700, , , , , , ,25, , , , , ,Maria Tomásia,50422,410, , ,60, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,9/A","FO84/24,ff.125-8",Florentino,"AHNA, Códice D-1-5", , , , , , , , , , , , , , , ,470, ,33, , , , , , ,63,1822,1822,1821, , 
178, , , , , , , , ,50422, , , , , , , ,"Costa, João Lopes da", , , , , , , , , , , , , , , , ,24,11,1821, , ,1822, ,9,1822, , , ,3,9,1822, , , , , , , , , ,60734, ,60700, ,1, , , , , , , , , , , , , , , , , ,60799,50422, , , , , , , , , , , , , , , , , , , , ,"Vieira, José Inácio Vaz", , , , , , , , , , , , , , , ,60734, , , , ,50422, ,50400, ,50400, , ,60700, , , , , , ,25, , , , , ,Flor do Brasil,50422,572, , ,83, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,9/A","FO84/24,ff.125-8",Florentino,"AHNA, Códice D-1-5","GRJ,29/11/1821", , , , , , , , , , , , , , ,655, ,33, , , , , , ,63,1822,1822,1821, , 
181, , , , , , , , , , , , , , , , ,"Seixas, Valeriano José de","Vale, João Gomes", , , , , , , , , , , , , , , ,10,2,1822, , , , , , , , , ,24,9,1822, , , , , , , , , ,60711, ,60700, ,1, , , , , , , , , , , , , , , , , ,60707,50422, , , , , , , , , , , , , , , , , , , , ,"Rocha, Joaquim José da", , , , , , , , , , , , , , , ,60707, , , , ,50422, , , ,50400, , ,60700, , , , , , ,40, , , , , ,Adamastor,50422,524, , ,1, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,9/A","FO84/24,ff.125-8",Florentino,"GRJ,21/02/1822", , , , , , , , , , , , , , , ,525, ,28, , , , , , ,81,1822,1822,1822, , 
209, , , , , , , , , , , , , , , , ,"Guimarães, Manoel José da Silveira", , , , , , , , , , ,16, , , , , ,9,6,1821, , , , , , , , , ,5,4,1822, , , , , , , , , ,60725, ,60700, ,1, , , , , , , , , , , , , , , , , ,60725,50299, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60725, , , , ,50299, , , ,50200, , ,60700, , , , , , ,2, , , , , ,Bela Astrea,50299,40, , ,3, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,9/A","AHMS, 2.6, p. 1", , , , , , , , , , , , , , , , , ,43, , , , , , , , ,24,1822,1822,1821, , 
231, , , , , , , , , , , , , , , , ,"Borbascan, T", , , , , , , , ,36100, ,18, , , , , , , ,1822, , , , , , , , , ,2,3,1823, , , , , , , , , , , , , ,178, , , , , , , , , , , , , , , , , ,60605,50399, , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , ,60605, , ,36199, ,36199, , , ,50300, , ,60600, , , , , , ,17, , , , , ,Trident,50399,126, , ,55, , , , , , , , , , , , ,"PP,1845,XLIX:593-633",Daget,"IUP,ST,9/A2/58","PP,1823,XIX:279", , , , , , , , , , , , , , ,100, ,181, , , , , , , , ,93,1822,1823,1822, , 
277, , , , , , , , ,50422, , , , , , , ,"Pereira, Francisco Manoel", , , , , , , , , , , , , , , , ,17,2,1821, , ,1821, ,10,1821, , , ,7,11,1821, , , , , , , , , ,60734, ,60700, ,1, , , , , , , , , , , , , , , , , ,60799,50422, , , , , , , , , , , , , , , , , , , , ,"Guimarães, Francisco José", , , , , , , , , , , , , , , ,60734, , , , ,50422, ,50400, ,50400, , ,60700, , , , , , ,40, , , , , ,Imperador Feliz,50422,507, , ,72, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","FO84/17,ff.89-105",Florentino,"AHNA, Códice D-1-5","ANRJ, SM IV M - Liv.336 - Diversos,p.71v", , , , , , , , , , , , , , , ,579, ,35, , , , , , ,81,1821,1821,1821, , 
335, , , , , , , , ,50422, , , , , , , ,"Félix, Inácio José","Melo, Joaquim Gomes de", , , , , , , , , , , , , , , ,24,11,1822, , , , , ,1823, , , ,29,12,1823, , , , , , , , , ,60707, ,60700, ,1, , , , , , , , , , , , , , , , , ,60707,50422, , , , , , , , , , , , ,4, , , , , , , ,"Pinto, Manoel Guedes", , , , , , , , , , , , , , , ,60707, , , , ,50422, ,50400, ,50400, , ,60700, , , , , , ,40, , , , , ,Marquês de Pombal,50422,434, , ,20, , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,9/A/25","FO84/31,ff.89-105",Florentino,"IHGB,DL82.1:18",GRJ 28/11/1822, , , , , , , , , , , , , , ,454, ,31, , , , , , ,81,1823,1823,1822, , 
338, , , , , , , , , , , , , , , , ,Precan, , , , , , , , , , , , , , , , , , ,1821, , , , , , , , , , ,1,1822, , , , , , , , , ,60106, ,60100, ,164, , , , , , , , , , , , , , , , , ,60106,31312, , , , , , , , , , , , ,10, , , , , , , ,Bougerel, , , , , , , , , , , , , , , ,60106, , , , ,60118, , , ,31300, , ,60100, , , , , , ,2, , , , , ,Louise,31312, , , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,10/A/144",Daget, , , , , , , , , , , , , , , , , , , , , , , , , , ,24,1822,1822,1821, , 
339, , , , , , , , , , , , , , , , ,"Zabala, J B", , , , , , , , , , , , , , , , , ,8,1821, , , , , , , , , , ,2,1822, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,31312, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31312, , , ,31300, , , , , , , , , ,2, , , , , ,Mo Josefa,31312, , , , , , , , , , , , , , , , ,"PP,1845,XLIX:593-633","IUP,ST,10/A/144,145", , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,1822,1822,1821, , 
