ID	NAME	LAT	LONG	COUNTRYCODE
160273	Kuranko or Mandingo	8.7935493	-9.4650976	6021
160272	Kuranko or Mandingo	8.7935493	-9.4650976	6021
160523	Yoruba-Itsekiri	7.6934	4.3399	6065
160525	Yoruba-Itsekiri	7.6934	4.3399	6065
160524	Yoruba-Itsekiri	7.6934	4.3399	6065
999999	Ora	7.1297	5.8052	9999
999998	Pening			9999
999997	Santa			9999
260677	Igbo	5.8291	7.2858	6065
560603	Kenyang	5.6189	9.5736	6061
999996	Kom	6.2614	10.3413	9999
999995	Mboh	1.1211	28.019	9999
999994	Meta'	5.8462	9.8062	9999
160499	Arabic/Islamic			6021
460616	Bakossi or Igbo			6061
460620	Bakweri or Igbo			6061
460635	Bassa or Nupe			6061
160508	Edobor			9999
460785	Etcie or Igbo			6065
160228	Fula (Upper Guinea) or Mandingo			6021
460688	Ibibio or Qua			6065
560601	Islamic			6064
160278	Loko or Mandingo			6021
111111	Multiethnic			9999
160661	Ngemba or Ogoja			6061
560614	Ogoja or Igala			6065
560619	Qua or Ogoja			6065
560620	Tang or Tikari			6061
560624	Tikari or Ngemba			6061
560630	Yako or Egajam			6065
160675	Aghem (wum)	6.3863	10.0749	6061
160429	Akan	6.4875	-1.3139	6042
160679	Akoko-Edo	7.276346	6.103946	6065
160601	Akoose	4.9552	9.6526	6061
160681	Alago	8.3719	8.3264	6065
160682	Anang	4.9658	7.6177	6065
460611	Bafaw or Qua	4.5184	9.6135	6061
160602	Bafaw-Balong	4.5184	9.6135	6061
160603	Bafia	4.7313	11.2135	6061
460612	Bafoussam	5.466667	10.416667	6061
460613	Bafut	6.1233	10.1059	6061
460614	Bakossi or Banyan	4.9552	9.6526	6061
460615	Bakossi or Befaw	4.9552	9.6526	6061
460617	Bakossi or Tikari	5.6604833	10.866125	6061
460618	Bakundu	4.907	9.1521	6061
460619	Bakweri or Bakossi	7.145112	11.4499583	6061
460621	Bali	9.2857	11.8171	6073
460622	Bali or Ekoi	9.2857	11.8171	6073
460623	Bali or Tikari	6.7713395	11.6747515	6061
460624	Balundo or Bakweri	4.6470838	9.2707859	6061
460625	Balundo or Efut	4.88879	8.6302391	6061
460626	Balundo or Ngemba	5.2557206	9.4876955	6061
460627	Balundo or Oroko	4.6470896	9.2707876	6061
460628	Balundo or Qua	4.6470896	9.2707876	6061
160607	Balundo-bima	4.6470896	9.2707876	6061
460629	Bamefa	5.6235	10.3438	6061
460630	Bamenda	5.963051	10.159121	6061
460631	Bamenda or Bakossi	5.9663938	10.1639533	6061
460632	Bamenda or Ndop	5.9771379	10.3094326	6061
460633	Bamilikee	5.7419	10.4241	6061
160608	Bamum	5.5812	10.8884	6061
560635	Bangi	-0.1977	17.5313	6061
160690	Basa	8.0374	7.0511	6065
160691	Basa-Gumna	9.9383376	6.0779406	6065
160609	Bassa	8.0374	7.0511	6061
460634	Bassa or Beti	7.2624589	9.1006013	6061
460636	Bassossi	5.3013	9.5474	6061
460637	Bauchi	10.2074	6.623	6061
460638	Bayang or Ejagam	5.6189	9.5736	6061
460663	Bayangi	5.820599	9.367308	6061
160530	Bende	2.1815	30.3478	6065
160604	Bimbia	3.9811	9.3593	6061
160605	Bimbia or Douala	3.9811	9.3593	6061
160606	Binji	-4.6716	22.7311	6073
160698	Birom	9.6475	8.8075	6065
