enslaved_id	language_group_id
1	560601
2	
3	
4	160226
5	160306
6	
7	160306
8	160306
9	
10	160219
11	160306
12	160437
13	111111
14	
15	460681
16	
17	
18	
19	160429
20	
21	111111
22	
23	
24	
25	160306
26	160226
27	160306
28	160282
29	160306
30	111111
31	160306
32	
33	
34	160226
35	160306
36	160226
37	
38	
39	160226
40	160226
41	
42	160272
43	111111
44	160219
45	160306
46	
47	160226
48	160226
49	160219
50	160306
51	
52	160226
53	
54	
55	160226
56	
57	
58	
59	
60	
61	
62	
63	111111
64	
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75	
76	
77	
78	
79	
80	
81	
82	
83	
84	
85	
86	
87	
88	
89	
90	
91	
92	
93	
94	
95	
96	160155
97	
98	
99	
100	160226
101	160268
102	
103	
104	
105	160219
106	
107	
108	160280
109	111111
110	160218
111	160226
112	
113	
114	
115	160218
116	
117	
118	
119	
120	
121	
122	160268
123	160223
124	
125	
126	111111
127	
128	160226
129	160226
130	111111
131	
132	111111
133	160268
134	160210
135	111111
136	111111
137	160219
138	160282
139	
140	
141	160208
142	160282
143	111111
144	160226
145	160226
146	
147	160226
148	
149	
150	160226
151	
152	160226
153	160219
154	160226
155	
156	
157	
158	
159	160437
160	
161	160218
162	160268
163	160282
164	
165	160226
166	160280
167	111111
168	160223
169	160282
170	160282
171	
172	
173	
174	111111
175	
176	160280
177	
178	160226
179	
180	
181	111111
182	
183	160282
184	
185	
186	
187	160219
188	111111
189	160219
190	160219
191	160325
192	160210
193	160226
194	160268
195	160226
196	
197	
198	111111
199	160219
200	160280
201	160219
202	160226
203	
204	
205	
206	160272
207	160226
208	
209	160210
210	160226
211	160226
212	160268
213	160226
214	160226
215	
216	160226
217	160155
218	160155
219	160499
220	
221	160499
222	160499
223	160499
224	160499
225	160272
226	160437
227	160155
228	
229	
230	160499
231	
232	160499
233	
234	160499
235	160208
236	
237	
238	160282
239	
240	160277
241	
242	
243	160226
244	111111
245	160499
246	160280
247	
248	160499
249	160437
250	160226
251	160155
252	160499
253	
254	111111
255	
256	
257	111111
258	
259	111111
260	
261	160155
262	
263	160499
264	111111
265	111111
266	160226
267	
268	160499
269	111111
270	111111
271	
272	160155
273	160282
274	160499
275	
276	
277	160499
278	160282
279	
280	
281	160210
282	111111
283	160226
284	160268
285	160210
286	
287	
288	
289	
290	160282
291	160218
292	160280
293	160226
294	
295	
296	160218
297	160437
298	111111
299	160437
300	
301	
302	160437
303	160280
304	
305	
306	111111
307	
308	160280
309	
310	
311	111111
312	
313	
314	160226
315	
316	
317	160282
318	
319	111111
320	160268
321	160218
322	160280
323	
324	
325	
326	160280
327	160282
328	160210
329	
330	
331	160226
332	
333	160226
334	
335	160210
336	
337	
338	160226
339	
340	
341	
342	160437
343	160155
344	
345	111111
346	160219
347	111111
348	160219
349	
350	
351	160282
352	160226
353	
354	
355	160210
356	160226
357	
358	160225
359	160226
360	160226
361	
362	160226
363	160223
364	160210
365	
366	111111
367	
368	160226
369	
370	
371	160226
372	111111
373	160499
374	160226
375	160280
376	160437
377	160282
378	160226
379	160219
380	160218
381	
382	
383	160218
384	
385	160268
386	
387	111111
388	160219
389	
390	160437
391	160225
392	160218
393	160226
394	
395	
396	111111
397	111111
398	
399	111111
400	160226
401	
402	111111
403	
404	160210
405	
406	160226
407	160226
408	
409	160437
410	
411	160282
412	160208
413	111111
414	
415	
416	
417	160226
418	160226
419	111111
420	
421	160277
422	160226
423	
424	
425	111111
426	111111
427	
428	111111
429	
430	111111
431	111111
432	111111
433	160226
434	
435	
436	160280
437	160226
438	
439	111111
440	
441	111111
442	
443	
444	111111
445	160226
446	111111
447	
448	111111
449	
450	111111
451	111111
452	111111
453	160226
454	
455	
456	111111
457	
458	
459	160226
460	111111
461	160437
462	
463	160277
464	
465	160277
466	
467	111111
468	111111
469	160218
470	160218
471	
472	
473	
474	
475	
476	160218
477	160218
478	
479	260660
480	260677
481	260625
482	260677
483	260677
484	260677
485	260677
486	260677
487	260677
488	260677
489	260677
490	260677
491	260677
492	
493	260660
494	260677
495	260677
496	260625
497	
498	260677
499	
500	
501	460677
502	460677
503	
504	260677
505	260625
506	260660
507	260677
508	560625
509	260677
510	260677
511	260677
512	260677
513	
514	260677
515	260677
516	260677
517	
518	260677
519	260677
520	260677
521	260677
522	260677
523	260677
524	260677
525	
526	260677
527	260677
528	560601
529	260677
530	
531	
532	
533	260677
534	260677
535	260677
536	260677
537	
538	
539	260677
540	260677
541	260677
542	260677
543	260677
544	260677
545	
546	260677
547	260677
548	260677
549	260677
550	260677
551	260677
552	
553	260677
554	260677
555	260677
556	560601
557	260677
558	260677
559	260677
560	260677
561	260677
562	
563	
564	260677
565	260677
566	
567	
568	260677
569	
570	
571	260677
572	260677
573	260677
574	
575	
576	
577	
578	
579	
580	260677
581	260660
582	
583	260677
584	
585	
586	260625
587	260660
588	260677
589	260677
590	260677
591	260677
592	
593	260677
594	260677
595	260677
596	
597	
598	
599	
600	260677
601	
602	
603	
604	260677
605	
606	260677
607	260677
608	260677
609	260677
610	260677
611	260677
612	260677
613	
614	260677
615	260625
616	260677
617	260677
618	
619	
620	
621	
622	260677
623	260677
624	260677
625	260677
626	260677
627	260677
628	260677
629	
630	260677
631	
632	
633	
634	
635	260677
636	260660
637	260677
638	260677
639	260677
640	
641	260677
642	260677
643	
644	
645	
646	
647	260677
648	
649	
650	260677
651	560601
652	260677
653	
654	260677
655	260677
656	260677
657	
658	260677
659	260677
660	
661	260677
662	260677
663	260677
664	
665	
666	
667	260677
668	260657
669	260677
670	260677
671	260660
672	
673	
674	
675	
676	
677	
678	
679	260677
680	260677
681	260677
682	260677
683	260677
684	260677
685	
686	260677
687	260677
688	260677
689	260677
690	260677
691	260677
692	260677
693	260677
694	260677
695	
696	260677
697	
698	
699	
700	260677
701	260677
702	260677
703	
704	
705	260677
706	260677
707	
708	
709	
710	
711	260677
712	
713	260677
714	260677
715	260677
716	
717	
718	
719	
720	
721	
722	
723	
724	
725	260657
726	
727	260677
728	
729	
730	
731	
732	
733	260677
734	260677
735	460639
736	260677
737	
738	260677
739	160614
740	260677
741	
742	260677
743	260677
744	260677
745	260677
746	
747	260677
748	260677
749	260677
750	
751	260677
752	
753	
754	260677
755	260677
756	260677
757	260677
758	
759	260677
760	260677
761	
762	260677
763	260677
764	260677
765	260677
766	
767	
768	260677
769	260677
770	260677
771	
772	
773	260677
774	260677
775	
776	260677
777	260677
778	260677
779	260677
780	
781	260677
782	
783	260677
784	
785	260677
786	260677
787	260677
788	260677
789	
790	260677
791	260677
792	
793	260677
794	
795	260677
796	260677
797	
798	260677
799	
800	
801	
802	260677
803	
804	260677
805	
806	260677
807	
808	260677
809	260677
810	260677
811	
812	260677
813	260677
814	260677
815	
816	
817	
818	
819	
820	
821	
822	
823	260677
824	260677
825	260677
826	
827	
828	
829	260677
830	
831	260677
832	
833	
834	
835	260677
836	260677
837	
838	260677
839	260677
840	
841	
842	260677
843	260677
844	260677
845	260677
846	
847	
848	260677
849	
850	260677
851	
852	260677
853	
854	
855	260677
856	
857	260677
858	260677
859	
860	260677
861	260677
862	260677
863	
864	
865	260677
866	
867	
868	260677
869	
870	
871	
872	260677
873	260677
874	
875	
876	
877	
878	
879	260677
880	260677
881	
882	260677
883	260677
884	260677
885	260677
886	260677
887	
888	260677
889	
890	260677
891	260660
892	260677
893	260677
894	260677
895	260677
896	260677
897	260677
898	260677
899	
900	260677
901	260677
902	260677
903	260698
904	560632
905	260677
906	
907	260677
908	
909	260677
910	260677
911	160506
912	
913	260677
914	260677
915	260677
916	260677
917	260677
918	260677
919	
920	260677
921	
922	
923	
924	260677
925	560625
926	260677
927	260677
928	
929	
930	260677
931	260677
932	
933	260677
934	260677
935	
936	260677
937	260677
938	260677
939	260677
940	260677
941	
942	
943	
944	260677
945	260677
946	260677
947	260677
948	260677
949	260677
950	
951	260677
952	260677
953	260677
954	260677
955	260677
956	
957	
958	
959	
960	260677
961	
962	
963	
964	260677
965	260677
966	260677
967	260677
968	260677
969	260677
970	260677
971	
972	
973	260677
974	
975	260677
976	260677
977	260677
978	260677
979	260677
980	260625
981	
982	
983	
984	
985	260677
986	260677
987	
988	260677
989	260677
990	
991	
992	260660
993	
994	
995	
996	260625
997	260677
998	260677
999	260660
1000	260677
1001	260677
1002	
1003	260677
1004	
1005	
1006	
1007	
1008	260677
1009	
1010	260677
1011	260677
1012	
1013	260625
1014	
1015	260677
1016	
1017	
1018	
1019	260677
1020	
1021	
1022	
1023	
1024	260677
1025	
1026	
1027	
1028	
1029	
1030	
1031	260677
1032	
1033	260625
1034	
1035	
1036	
1037	
1038	
1039	
1040	
1041	
1042	
1043	260677
1044	260677
1045	260677
1046	
1047	
1048	
1049	
1050	260677
1051	260677
1052	
1053	
1054	260677
1055	
1056	260677
1057	
1058	260677
1059	260677
1060	
1061	
1062	
1063	
1064	260677
1065	260677
1066	260677
1067	260677
1068	260677
1069	
1070	
1071	260677
1072	260677
1073	
1074	260677
1075	
1076	260677
1077	260677
1078	260677
1079	
1080	260677
1081	
1082	
1083	
1084	
1085	
1086	
1087	
1088	
1089	
1090	260677
1091	
1092	
1093	
1094	260677
1095	
1096	260677
1097	
1098	
1099	460683
1100	260677
1101	
1102	260677
1103	
1104	
1105	260677
1106	
1107	
1108	
1109	
1110	
1111	160515
1112	160515
1113	160515
1114	
1115	
1116	
1117	
1118	
1119	
1120	160515
1121	
1122	160515
1123	
1124	
1125	
1126	160437
1127	
1128	160515
1129	
1130	
1131	
1132	
1133	
1134	160515
1135	
1136	
1137	
1138	
1139	
1140	
1141	
1142	
1143	
1144	
1145	560601
1146	
1147	160515
1148	
1149	
1150	
1151	
1152	
1153	160499
1154	
1155	
1156	
1157	
1158	
1159	
1160	
1161	
1162	
1163	
1164	
1165	
1166	
1167	
1168	160515
1169	
1170	
1171	
1172	
1173	
1174	
1175	
1176	160515
1177	
1178	
1179	
1180	
1181	
1182	
1183	
1184	
1185	
1186	160515
1187	160515
1188	
1189	
1190	
1191	
1192	
1193	
1194	
1195	
1196	
1197	
1198	160515
1199	
1200	
1201	
1202	
1203	
1204	
1205	
1206	
1207	
1208	
1209	
1210	
1211	560601
1212	560601
1213	
1214	
1215	560601
1216	
1217	160437
1218	
1219	
1220	
1221	
1222	160515
1223	
1224	
1225	160515
1226	
1227	160515
1228	
1229	
1230	
1231	
1232	
1233	
1234	
1235	160515
1236	
1237	
1238	
1239	560601
1240	
1241	
1242	
1243	
1244	
1245	
1246	
1247	
1248	160499
1249	
1250	
1251	
1252	160515
1253	
1254	160515
1255	
1256	
1257	
1258	
1259	
1260	560601
1261	
1262	
1263	
1264	
1265	
1266	
1267	160515
1268	
1269	
1270	
1271	
1272	
1273	160515
1274	
1275	160515
1276	
1277	160515
1278	
1279	
1280	
1281	
1282	
1283	160515
1284	
1285	160515
1286	
1287	
1288	
1289	160515
1290	
1291	
1292	
1293	160515
1294	
1295	160515
1296	
1297	
1298	
1299	
1300	
1301	
1302	
1303	560601
1304	160515
1305	
1306	160515
1307	
1308	
1309	
1310	
1311	
1312	160515
1313	160515
1314	
1315	
1316	
1317	
1318	260677
1319	
1320	
1321	
1322	260677
1323	260677
1324	260677
1325	560625
1326	
1327	
1328	260677
1329	260677
1330	
1331	
1332	260677
1333	260677
1334	260677
1335	160513
1336	260677
1337	
1338	260677
1339	560629
1340	
1341	
1342	
1343	260677
1344	260677
1345	260677
1346	260677
1347	260677
1348	260677
1349	260677
1350	260677
1351	260677
1352	260677
1353	260677
1354	260677
1355	260677
1356	
1357	
1358	260677
1359	260677
1360	
1361	260677
1362	
1363	260677
1364	260677
1365	260677
1366	
1367	260677
1368	260677
1369	560630
1370	560625
1371	260677
1372	260677
1373	260660
1374	260677
1375	260677
1376	260677
1377	260677
1378	260677
1379	260677
1380	260677
1381	260625
1382	260676
1383	
1384	260677
1385	
1386	260677
1387	
1388	260677
1389	
1390	
1391	
1392	260660
1393	260677
1394	
1395	260677
1396	
1397	260677
1398	260677
1399	260677
1400	
1401	
1402	260677
1403	260677
1404	260677
1405	260677
1406	260677
1407	260677
1408	
1409	260677
1410	260677
1411	
1412	
1413	
1414	260677
1415	260677
1416	260677
1417	260677
1418	260677
1419	260677
1420	260677
1421	260677
1422	260677
1423	260677
1424	260677
1425	260677
1426	
1427	
1428	260677
1429	
1430	260677
1431	260677
1432	
1433	
1434	
1435	
1436	260677
1437	260677
1438	260677
1439	
1440	
1441	
1442	260677
1443	260677
1444	
1445	260677
1446	
1447	
1448	
1449	260677
1450	
1451	260677
1452	
1453	
1454	260677
1455	260677
1456	560629
1457	
1458	460677
1459	260677
1460	260677
1461	
1462	260677
1463	260677
1464	260677
1465	
1466	360683
1467	260660
1468	
1469	260660
1470	260677
1471	
1472	260677
1473	260677
1474	
1475	260677
1476	260677
1477	260677
1478	260657
1479	260625
1480	
1481	460677
1482	260677
1483	260677
1484	260677
1485	260677
1486	260677
1487	260677
1488	260677
1489	260677
1490	
1491	
1492	560629
1493	260677
1494	260677
1495	260677
1496	260677
1497	260675
1498	260677
1499	
1500	260677
1501	260677
1502	460677
1503	260677
1504	560632
1505	
1506	
1507	560629
1508	460677
1509	260660
1510	
1511	
1512	460689
1513	260677
1514	
1515	
1516	160509
1517	260660
1518	260660
1519	260677
1520	
1521	260677
1522	260677
1523	
1524	
1525	
1526	
1527	
1528	
1529	260677
1530	260625
1531	
1532	260677
1533	260625
1534	
1535	260677
1536	
1537	
1538	
1539	260677
1540	
1541	260677
1542	
1543	260677
1544	
1545	
1546	260677
1547	560601
1548	
1549	260677
1550	560625
1551	260677
1552	
1553	
1554	260677
1555	
1556	
1557	
1558	
1559	
1560	260677
1561	260677
1562	
1563	260677
1564	
1565	
1566	260677
1567	260677
1568	260660
1569	260677
1570	
1571	260677
1572	
1573	
1574	260677
1575	260677
1576	260677
1577	
1578	260660
1579	
1580	
1581	
1582	260677
1583	260677
1584	260677
1585	
1586	
1587	260677
1588	
1589	260677
1590	260677
1591	
1592	
1593	
1594	260677
1595	
1596	260677
1597	260677
1598	260677
1599	260677
1600	
1601	
1602	260677
1603	260660
1604	260677
1605	
1606	260677
1607	
1608	
1609	
1610	260677
1611	
1612	
1614	160219
1615	160282
1616	111111
1617	160499
1618	160226
1619	160208
1620	160499
1621	111111
1622	
1623	111111
1624	
1625	
1626	160499
1627	160226
1628	
1629	160210
1630	160499
1631	160280
1632	160155
1633	111111
1634	160208
1635	111111
1636	160223
1637	160499
1638	160219
1639	111111
1640	
1641	560601
1642	160499
1643	160499
1644	160437
1645	
1646	
1647	
1648	160282
1649	111111
1650	160437
1651	
1652	111111
1653	560601
1654	160282
1655	160225
1656	160208
1657	560601
1658	160226
1659	
1660	160499
1661	160282
1662	
1663	111111
1664	160499
1665	160277
1666	160280
1667	111111
1668	
1669	111111
1670	
1671	
1672	
1673	
1674	
1675	
1676	111111
1677	
1678	160437
1679	
1680	
1681	
1682	
1683	111111
1684	
1685	
1686	
1687	
1688	160218
1689	
1690	
1691	160499
1692	
1693	
1694	160499
1695	
1696	
1697	160499
1698	
1699	160499
1700	160268
1701	
1702	160268
