Type	Name	Old Code	New Code
Place	Laguna	77770103	80426
Place	Old Town	60640	60639
Place	Portuguese Town	60295	60268
Place	Gambia	60144	60108
Place	Montgomery County	22139	22103
Place	Biloxi	21616	21604
Place	East Florida	21526	21506
Place	Columbia County	21313	21312
Place	Cumberland County	21120	21119
Place	Greenbank	104959	104941
Place	Rainford	104945	104811
Place	Liverpool	104939	10432
Place	Hornby	104932	10994
Place	Preston	104809	10452
Place	Braga	10241	10210
Place	Asia, port unspecified	70199	80999
Place	Laguna	80101	80426
