Type	Name	Old Code	New Code	Parent Name
Place	Pass Cavallo		22178	Texas
Place	Asunción		42014	Rio de la Plata
Place	Concepción del Uruguay		42015	Rio de la Plata
Place	Curupaity		42016	Rio de la Plata
Place	Gualeguay		42017	Rio de la Plata
Place	Humaitá		42018	Rio de la Plata
Place	Manaus		50112	Amazonia
Place	Maguay		50222	Bahia
Place	Prado		50223	Bahia
Place	Penedo		50314	Pernambuco
Place	Vila Bela		50315	Pernambuco
Place	Cerrito		50482	Southeast Brazil
Place	Fazenda do Largo 		50483	Southeast Brazil
Place	Guarainha		50484	Southeast Brazil
Place	Imbetiba		50485	Southeast Brazil
Place	Ipanema		50486	Southeast Brazil
Place	Itacuruçá		50487	Southeast Brazil
Place	Leopoldina 		50488	Southeast Brazil
Place	Pelotas		50489	Southeast Brazil
Place	Piúma		50490	Southeast Brazil
Place	São João da Barra		50491	Southeast Brazil
Place	East Asia, port unspecified		80699	East Asia
Place	Angossy Bay		60839	East Africa and Indian Ocean islands
Place	Antongil Bay		60840	East Africa and Indian Ocean islands
Place	Assada		60841	East Africa and Indian Ocean islands
Place	Boina		60842	East Africa and Indian Ocean islands
Place	Bombetoc; Bombetoka; Mahajanga; Majunga		60843	East Africa and Indian Ocean islands
Place	Bonnivoul		60844	East Africa and Indian Ocean islands
Place	Farantangane		60845	East Africa and Indian Ocean islands
Place	Foulpointe		60846	East Africa and Indian Ocean islands
Place	Luna Roads		60847	East Africa and Indian Ocean islands
Place	Manabullo		60848	East Africa and Indian Ocean islands
Place	Manazary; Manajary		60849	East Africa and Indian Ocean islands
Place	Mangally		60850	East Africa and Indian Ocean islands
Place	Maningare; Manningare		60851	East Africa and Indian Ocean islands
Place	Massalege; Massaliege; Massaly; Magelage; Mazalagem		60852	East Africa and Indian Ocean islands
Place	Matitanana		60853	East Africa and Indian Ocean islands
Place	Morondava		60854	East Africa and Indian Ocean islands
Place	Morongany; Morongambo; Maringando		60855	East Africa and Indian Ocean islands
Place	Pointe Larée		60856	East Africa and Indian Ocean islands
Place	Sadian Bon Porto		60857	East Africa and Indian Ocean islands
Place	Saint Augustine's Bay; St. Augustin Bay		60858	East Africa and Indian Ocean islands
Place	Sainte Luce		60859	East Africa and Indian Ocean islands
Place	Tsiribihina		60860	East Africa and Indian Ocean islands
Place	Vohemar; Wohemar Bay		60861	East Africa and Indian Ocean islands
Place	Delagoa Bay		60862	East Africa and Indian Ocean islands
Place	Swahili coast		60863	East Africa and Indian Ocean islands
Place	Lindi		60864	East Africa and Indian Ocean islands
Place	Malimbe		60865	East Africa and Indian Ocean islands
Place	Manguira		60866	East Africa and Indian Ocean islands
Place	Mikindani		60867	East Africa and Indian Ocean islands
Place	Mongale		60868	East Africa and Indian Ocean islands
Place	Comoro islands, port unspecified		60869	East Africa and Indian Ocean islands
Place	Mohilla		60870	East Africa and Indian Ocean islands
Place	Seychelles, port unspecified		60871	East Africa and Indian Ocean islands
Place	Horn of Africa		60872	East Africa and Indian Ocean islands
Place	Massawa		60873	East Africa and Indian Ocean islands
Place	East Africa, port unspecified		60898	East Africa and Indian Ocean islands
Place	Middle East, port unspecified		70199	Other Middle East
Place	Aden		70201	Red Sea and Gulf of Aden
Place	Assab		70202	Red Sea and Gulf of Aden
Place	Berbera		70203	Red Sea and Gulf of Aden
Place	Hodeidah		70204	Red Sea and Gulf of Aden
Place	Jeddah		70205	Red Sea and Gulf of Aden
Place	Massawa		70206	Red Sea and Gulf of Aden
Place	Port Sudan		70207	Red Sea and Gulf of Aden
Place	Suakin		70208	Red Sea and Gulf of Aden
Place	Red Sea and Gulf of Aden, port unspecified		70299	Red Sea and Gulf of Aden
Place	Abu Dhabi		70401	Persian Gulf and the Gulf of Oman
Place	Bahrain		70402	Persian Gulf and the Gulf of Oman
Place	Bandar Abbas		70403	Persian Gulf and the Gulf of Oman
Place	Bander Jask		70404	Persian Gulf and the Gulf of Oman
Place	Bander Kangan		70405	Persian Gulf and the Gulf of Oman
Place	Bander Lingah		70406	Persian Gulf and the Gulf of Oman
Place	Bander Rig		70407	Persian Gulf and the Gulf of Oman
Place	Basrah		70408	Persian Gulf and the Gulf of Oman
Place	Chah Bahar		70409	Persian Gulf and the Gulf of Oman
Place	Damman		70410	Persian Gulf and the Gulf of Oman
Place	Doha		70411	Persian Gulf and the Gulf of Oman
Place	Dubai		70412	Persian Gulf and the Gulf of Oman
Place	Guwadar		70413	Persian Gulf and the Gulf of Oman
Place	Jubayl		70414	Persian Gulf and the Gulf of Oman
Place	Kuwait		70415	Persian Gulf and the Gulf of Oman
Place	Manamah		70416	Persian Gulf and the Gulf of Oman
Place	Muharraq		70417	Persian Gulf and the Gulf of Oman
Place	Muscat		70418	Persian Gulf and the Gulf of Oman
Place	Ras al-Hadd		70419	Persian Gulf and the Gulf of Oman
Place	Ras al-Khaymah		70420	Persian Gulf and the Gulf of Oman
Place	Suhar		70421	Persian Gulf and the Gulf of Oman
Place	Sur		70422	Persian Gulf and the Gulf of Oman
Place	Zubarah		70423	Persian Gulf and the Gulf of Oman
Place	Persian Gulf and Gulf of Oman, port unspecified		70499	Persian Gulf and the Gulf of Oman
Place	Northwestern India, port unspecified		80202	South Asia
