filename,filetype,reduced,color,organization,width,height,recommendedwidth,recommendedheight
hutchins_color_300_99.png,png,hutchins_color,color,hutchins,300,99,303,100
ucsc_noshield_white_691_164.svg,svg,ucsc_noshield_white,noshield_white,ucsc,691,164,421,100
neh_white_523_127.png,png,neh_white,white,neh,523,127,411,100
ahrc_color_1275_350.png,png,ahrc_color,color,ahrc,1275,350,364,100
neh_color_732_335.svg,svg,neh_color,color,neh,732,335,218,100
ucberkeley_noshield_white_1200_369.png,png,ucberkeley_noshield_white,noshield_white,ucberkeley,1200,369,325,100
ucsc_noshield_blue_802_298.jpeg,jpeg,ucsc_noshield_blue,noshield_blue,ucsc,802,298,269,100
yale_color_430_69.gif,gif,yale_color,color,yale,430,69,623,100
emory_color_5209_1352.svg,svg,emory_color,color,emory,5209,1352,385,100
emory_white_500_130.png,png,emory_white,white,emory,500,130,384,100
nmaahc_purple_7501_3126.png,png,nmaahc_purple,purple,nmaahc,7501,3126,239,100
oi_color_686_528.svg,svg,oi_color,color,oi,686,528,129,100
rice_white_205_76.svg,svg,rice_white,white,rice,205,76,269,100
ucberkeley_noshield_blue_600_184.png,png,ucberkeley_noshield_blue,noshield_blue,ucberkeley,600,184,326,100
ecds_white_937_197.svg,svg,ecds_white,white,ecds,937,197,475,100
fcrb_color_450_157.jpg,jpg,fcrb_color,color,fcrb,450,157,286,100
ecds_color_937_197.svg,svg,ecds_color,color,ecds,937,197,475,100
oci_white_206_63.svg,svg,oci_white,white,oci,206,63,326,100
cambridge_color_3343_701.png,png,cambridge_color,color,cambridge,3343,701,476,100
hutchins_white_580_204.png,png,hutchins_white,white,hutchins,580,204,284,100
oi_white_686_528.svg,svg,oi_white,white,oi,686,528,129,100
nmaahc_white_7510_3126.png,png,nmaahc_white,white,nmaahc,7510,3126,240,100
mapping_specialists_color_435_82.jpg,jpg,mapping_specialists_color,specialists_color,mapping,435,82,530,100
uci_noshield_blue_1051_214.png,png,uci_noshield_blue,noshield_blue,uci,1051,214,491,100
ahrc_white_850_230.png,png,ahrc_white,white,ahrc,850,230,369,100
rice_blue_410_151.svg,svg,rice_blue,blue,rice,410,151,271,100
ucshield_white_250_250.svg,svg,ucshield_white,white,ucshield,250,250,100,100
uci_noshield_white_751_240.svg,svg,uci_noshield_white,noshield_white,uci,751,240,312,100
ucshield_blue_250_250.svg,svg,ucshield_blue,blue,ucshield,250,250,100,100
